Radius,Qs
0,NaN
0.001,5.68E-14
0.002,3.63E-12
0.003,4.14E-11
0.004,2.33E-10
0.005,8.87E-10
0.006,2.65E-09
0.007,6.68E-09
0.008,1.49E-08
0.009,3.02E-08
0.01,5.68E-08
0.011,1.01E-07
0.012,1.69E-07
0.013,2.74E-07
0.014,4.27E-07
0.015,6.46E-07
0.016,9.52E-07
0.017,1.37E-06
0.018,1.93E-06
0.019,2.67E-06
0.02,3.63E-06
0.021,4.86E-06
0.022,6.42E-06
0.023,8.38E-06
0.024,1.08E-05
0.025,1.38E-05
0.026,1.74E-05
0.027,2.19E-05
0.028,2.72E-05
0.029,3.35E-05
0.03,4.10E-05
0.031,4.98E-05
0.032,6.02E-05
0.033,7.23E-05
0.034,8.63E-05
0.035,0.000102477
0.036,0.000121077
0.037,0.000142363
0.038,0.000166621
0.039,0.000194159
0.04,0.000225301
0.041,0.000260391
0.042,0.000299791
0.043,0.00034388
0.044,0.000393055
0.045,0.000447729
0.046,0.00050833
0.047,0.000575297
0.048,0.000649086
0.049,0.00073016
0.05,0.000818991
0.051,0.000916059
0.052,0.001021847
0.053,0.001136841
0.054,0.001261527
0.055,0.001396389
0.056,0.001541907
0.057,0.001698553
0.058,0.001866792
0.059,0.00204708
0.06,0.002239862
0.061,0.002445569
0.062,0.002664625
0.063,0.002897437
0.064,0.003144407
0.065,0.003405927
0.066,0.003682383
0.067,0.003974159
0.068,0.004281644
0.069,0.004605236
0.07,0.004945344
0.071,0.005302405
0.072,0.005676884
0.073,0.006069288
0.074,0.006480173
0.075,0.006910159
0.076,0.007359935
0.077,0.007830276
0.078,0.008322052
0.079,0.008836238
0.08,0.009373926
0.081,0.009936334
0.082,0.010524813
0.083,0.011140857
0.084,0.011786101
0.085,0.012462326
0.086,0.013171454
0.087,0.013915543
0.088,0.014696776
0.089,0.015517441
0.09,0.016379913
0.091,0.017286622
0.092,0.01824002
0.093,0.019242539
0.094,0.020296546
0.095,0.021404287
0.096,0.022567832
0.097,0.023789014
0.098,0.025069367
0.099,0.026410063
0.1,0.027811858
0.101,0.029275036
0.102,0.030799369
0.103,0.032384087
0.104,0.034027861
0.105,0.035728806
0.106,0.037484502
0.107,0.039292034
0.108,0.041148054
0.109,0.043048858
0.11,0.044990479
0.111,0.046968798
0.112,0.048979654
0.113,0.051018966
0.114,0.053082848
0.115,0.055167727
0.116,0.057270441
0.117,0.059388334
0.118,0.061519328
0.119,0.063661985
0.12,0.065815549
0.121,0.06797997
0.122,0.070155917
0.123,0.072344775
0.124,0.074548627
0.125,0.076770233
0.126,0.079012996
0.127,0.081280924
0.128,0.08357859
0.129,0.08591108
0.13,0.088283951
0.131,0.090703172
0.132,0.093175071
0.133,0.095706275
0.134,0.09830364
0.135,0.100974179
0.136,0.103724978
0.137,0.106563097
0.138,0.10949547
0.139,0.112528779
0.14,0.11566932
0.141,0.118922858
0.142,0.122294466
0.143,0.125788356
0.144,0.12940771
0.145,0.133154509
0.146,0.137029379
0.147,0.141031443
0.148,0.145158221
0.149,0.149405551
0.15,0.15376757
0.151,0.158236747
0.152,0.162803982
0.153,0.167458764
0.154,0.172189394
0.155,0.176983262
0.156,0.181827174
0.157,0.186707707
0.158,0.191611578
0.159,0.196526014
0.16,0.201439102
0.161,0.206340104
0.162,0.21121972
0.163,0.216070317
0.164,0.220886032
0.165,0.225662925
0.166,0.230398976
0.167,0.235094075
0.168,0.239749964
0.169,0.24437015
0.17,0.248959783
0.171,0.253525535
0.172,0.258075462
0.173,0.262618866
0.174,0.267166161
0.175,0.271728743
0.176,0.276318863
0.177,0.280949502
0.178,0.285634246
0.179,0.290387154
0.18,0.295222617
0.181,0.300155198
0.182,0.305199456
0.183,0.310369733
0.184,0.315679919
0.185,0.321143171
0.186,0.326771604
0.187,0.332575936
0.188,0.338565111
0.189,0.344745896
0.19,0.351122463
0.191,0.357695994
0.192,0.364464308
0.193,0.371421557
0.194,0.378558013
0.195,0.385859973
0.196,0.393309822
0.197,0.400886256
0.198,0.408564697
0.199,0.416317879
0.2,0.424116596
0.201,0.431930583
0.202,0.439729475
0.203,0.447483797
0.204,0.455165928
0.205,0.46275097
0.206,0.470217494
0.207,0.477548102
0.208,0.484729813
0.209,0.491754243
0.21,0.498617605
0.211,0.505320548
0.212,0.511867907
0.213,0.51826817
0.214,0.524533255
0.215,0.530677901
0.216,0.536719244
0.217,0.542676377
0.218,0.548569957
0.219,0.554421853
0.22,0.560254846
0.221,0.566092386
0.222,0.571958371
0.223,0.577876976
0.224,0.583872485
0.225,0.589969136
0.226,0.596190945
0.227,0.602561506
0.228,0.609103742
0.229,0.615839588
0.23,0.622789605
0.231,0.629972494
0.232,0.637404517
0.233,0.645098828
0.234,0.653064705
0.235,0.661306732
0.236,0.669823953
0.237,0.678609054
0.238,0.68764765
0.239,0.696917746
0.24,0.706389475
0.241,0.71602518
0.242,0.725779925
0.243,0.735602459
0.244,0.74543664
0.245,0.755223269
0.246,0.764902238
0.247,0.77441484
0.248,0.78370609
0.249,0.792726868
0.25,0.801435729
0.251,0.809800261
0.252,0.817797917
0.253,0.8254163
0.254,0.832652949
0.255,0.839514694
0.256,0.846016692
0.257,0.852181262
0.258,0.858036626
0.259,0.863615655
0.26,0.868954701
0.261,0.874092651
0.262,0.879069696
0.263,0.88392716
0.264,0.888706628
0.265,0.893449647
0.266,0.898197478
0.267,0.902990939
0.268,0.907870309
0.269,0.912875272
0.27,0.918044854
0.271,0.923417319
0.272,0.929029998
0.273,0.934919003
0.274,0.941118805
0.275,0.947661622
0.276,0.95457661
0.277,0.96188881
0.278,0.969617865
0.279,0.977776499
0.28,0.98636881
0.281,0.995388448
0.282,1.004816812
0.283,1.014621414
0.284,1.024754646
0.285,1.035153173
0.286,1.045738187
0.287,1.056416723
0.288,1.067084146
0.289,1.077627785
0.29,1.087931538
0.291,1.097881132
0.292,1.107369565
0.293,1.116302239
0.294,1.124601275
0.295,1.132208625
0.296,1.139087765
0.297,1.145223908
0.298,1.150622901
0.299,1.155309062
0.3,1.15932231
0.301,1.162714957
0.302,1.165548466
0.303,1.167890452
0.304,1.169812076
0.305,1.171385932
0.306,1.17268445
0.307,1.173778792
0.308,1.174738329
0.309,1.175629733
0.31,1.176517804
0.311,1.177465074
0.312,1.178532232
0.313,1.179778479
0.314,1.18126188
0.315,1.183039661
0.316,1.185168393
0.317,1.187703998
0.318,1.190701528
0.319,1.194214627
0.32,1.198294622
0.321,1.202989154
0.322,1.208340287
0.323,1.214382037
0.324,1.221137325
0.325,1.228614385
0.326,1.236802793
0.327,1.245669368
0.328,1.255154368
0.329,1.265168511
0.33,1.275591483
0.331,1.286272579
0.332,1.297034034
0.333,1.307677293
0.334,1.317992084
0.335,1.327767635
0.336,1.336804901
0.337,1.344928387
0.338,1.351996113
0.339,1.357906517
0.34,1.36260165
0.341,1.366066596
0.342,1.368325649
0.343,1.36943616
0.344,1.36948113
0.345,1.368561576
0.346,1.366789461
0.347,1.364281732
0.348,1.361155706
0.349,1.357525833
0.35,1.353501713
0.351,1.349187155
0.352,1.344680033
0.353,1.340072718
0.354,1.33545308
0.355,1.330904723
0.356,1.326509211
0.357,1.322346422
0.358,1.318495736
0.359,1.31503691
0.36,1.312050768
0.361,1.309619641
0.362,1.307827494
0.363,1.306759638
0.364,1.30650191
0.365,1.307139176
0.366,1.308752961
0.367,1.311418049
0.368,1.315197843
0.369,1.320138397
0.37,1.326261127
0.371,1.333554437
0.372,1.341964843
0.373,1.351388566
0.374,1.361665008
0.375,1.37257387
0.376,1.383837707
0.377,1.395131313
0.378,1.406098352
0.379,1.416374222
0.38,1.425612547
0.381,1.433511441
0.382,1.439835396
0.383,1.444429316
0.384,1.447222934
0.385,1.448225867
0.386,1.44751533
0.387,1.445219536
0.388,1.441499944
0.389,1.436534911
0.39,1.430506409
0.391,1.423590471
0.392,1.415951306
0.393,1.407738542
0.394,1.399086836
0.395,1.390117114
0.396,1.380938752
0.397,1.371652215
0.398,1.362351784
0.399,1.353128373
0.4,1.344071037
0.401,1.335270262
0.402,1.326818927
0.403,1.318813969
0.404,1.311357587
0.405,1.304558161
0.406,1.298530842
0.407,1.29339774
0.408,1.289287529
0.409,1.286334252
0.41,1.284675007
0.411,1.28444607
0.412,1.285776994
0.413,1.288782138
